Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.61887E+12,4/19/2021 23:17,BTCUSD,56069.95,56069.95,56011.36,56057.59,0.155485262
1.61887E+12,4/19/2021 23:16,BTCUSD,56035.42,56097.14,55994.64,56069.95,0.71699
1.61887E+12,4/19/2021 23:15,BTCUSD,56055.74,56055.74,56035.42,56035.42,0.48495928
1.61887E+12,4/19/2021 23:14,BTCUSD,56057.16,56101.9,56035.42,56055.74,1.64786636
1.61887E+12,4/19/2021 23:13,BTCUSD,56144.29,56144.29,56057.16,56057.16,0.596992605
1.61887E+12,4/19/2021 23:12,BTCUSD,56195.38,56195.38,56100,56144.29,5.179757195
1.61887E+12,4/19/2021 23:11,BTCUSD,56238.26,56242.5,56111.27,56195.38,1.30698776
1.61887E+12,4/19/2021 23:10,BTCUSD,56118.23,56238.26,56118.23,56238.26,3.1325546
1.61887E+12,4/19/2021 23:09,BTCUSD,56105.55,56119.66,56078.2,56118.23,0.44687963
1.61887E+12,4/19/2021 23:08,BTCUSD,56049.75,56109.03,56042.88,56105.55,1.59421489
